AAPL
MSFT
TSM
INTC
CSCO
ORCL
SAP
ADBE
CRM
NVDA
ACN
ASML
TXN
IBM
QCOM
FIS
SNE
INTU
MU
VMW
AMAT
AMD
ADI
LRCX
INFY
ADSK
CTSH
TEL
APH
HPQ
CAJ
ERIC
MSI
KLAC
MCHP
XLNX
STM
VRSN
GLW
GIB
ANSS
SNPS
WDC
SWKS
CDNS
GRMN
MRVL
CHKP
MXIM
STX
CTXS
AKAM
NTAP
BR
IT
LDOS
ZBRA
TDY
OTEX
TYL
TER
FICO
JKHY
ASX
